"","tech","occ10","n","pct"
"1",1,2320,2,0.0769230769230769
"2",1,8030,2,0.0769230769230769
"3",1,220,1,0.0384615384615385
"4",1,430,1,0.0384615384615385
"5",1,530,1,0.0384615384615385
"6",1,2015,1,0.0384615384615385
"7",1,2100,1,0.0384615384615385
"8",1,2310,1,0.0384615384615385
"9",1,2600,1,0.0384615384615385
"10",1,3000,1,0.0384615384615385
"11",1,3420,1,0.0384615384615385
"12",1,3630,1,0.0384615384615385
"13",1,3800,1,0.0384615384615385
"14",1,3850,1,0.0384615384615385
"15",1,4220,1,0.0384615384615385
"16",1,4250,1,0.0384615384615385
"17",1,4760,1,0.0384615384615385
"18",1,4850,1,0.0384615384615385
"19",1,5620,1,0.0384615384615385
"20",1,7315,1,0.0384615384615385
"21",1,7340,1,0.0384615384615385
"22",1,7630,1,0.0384615384615385
"23",1,7800,1,0.0384615384615385
"24",1,8500,1,0.0384615384615385
"25",2,10,5,0.0555555555555556
"26",2,2200,5,0.0555555555555556
"27",2,3060,5,0.0555555555555556
"28",2,2320,4,0.0444444444444444
"29",2,430,3,0.0333333333333333
"30",2,1460,3,0.0333333333333333
"31",2,4700,3,0.0333333333333333
"32",2,4760,3,0.0333333333333333
"33",2,4920,3,0.0333333333333333
"34",2,20,2,0.0222222222222222
"35",2,110,2,0.0222222222222222
"36",2,140,2,0.0222222222222222
"37",2,220,2,0.0222222222222222
"38",2,2100,2,0.0222222222222222
"39",2,2340,2,0.0222222222222222
"40",2,3255,2,0.0222222222222222
"41",2,4850,2,0.0222222222222222
"42",2,120,1,0.0111111111111111
"43",2,230,1,0.0111111111111111
"44",2,350,1,0.0111111111111111
"45",2,640,1,0.0111111111111111
"46",2,735,1,0.0111111111111111
"47",2,800,1,0.0111111111111111
"48",2,1360,1,0.0111111111111111
"49",2,1410,1,0.0111111111111111
"50",2,1610,1,0.0111111111111111
"51",2,1760,1,0.0111111111111111
"52",2,1840,1,0.0111111111111111
"53",2,2000,1,0.0111111111111111
"54",2,2010,1,0.0111111111111111
"55",2,2430,1,0.0111111111111111
"56",2,2550,1,0.0111111111111111
"57",2,2825,1,0.0111111111111111
"58",2,2850,1,0.0111111111111111
"59",2,3010,1,0.0111111111111111
"60",2,3160,1,0.0111111111111111
"61",2,3600,1,0.0111111111111111
"62",2,3630,1,0.0111111111111111
"63",2,3710,1,0.0111111111111111
"64",2,3730,1,0.0111111111111111
"65",2,3850,1,0.0111111111111111
"66",2,4150,1,0.0111111111111111
"67",2,4750,1,0.0111111111111111
"68",2,4810,1,0.0111111111111111
"69",2,4820,1,0.0111111111111111
"70",2,4840,1,0.0111111111111111
"71",2,5000,1,0.0111111111111111
"72",2,5360,1,0.0111111111111111
"73",2,5620,1,0.0111111111111111
"74",2,5940,1,0.0111111111111111
"75",2,6200,1,0.0111111111111111
"76",2,6355,1,0.0111111111111111
"77",2,7000,1,0.0111111111111111
"78",2,8610,1,0.0111111111111111
"79",2,8640,1,0.0111111111111111
"80",2,9810,1,0.0111111111111111
"81",2,9830,1,0.0111111111111111
"82",3,800,5,0.0490196078431373
"83",3,1020,4,0.0392156862745098
"84",3,1105,3,0.0294117647058824
"85",3,2100,3,0.0294117647058824
"86",3,3060,3,0.0294117647058824
"87",3,4700,3,0.0294117647058824
"88",3,5240,3,0.0294117647058824
"89",3,10,2,0.0196078431372549
"90",3,120,2,0.0196078431372549
"91",3,150,2,0.0196078431372549
"92",3,230,2,0.0196078431372549
"93",3,430,2,0.0196078431372549
"94",3,630,2,0.0196078431372549
"95",3,710,2,0.0196078431372549
"96",3,735,2,0.0196078431372549
"97",3,840,2,0.0196078431372549
"98",3,1010,2,0.0196078431372549
"99",3,2320,2,0.0196078431372549
"100",3,4810,2,0.0196078431372549
"101",3,5120,2,0.0196078431372549
"102",3,5840,2,0.0196078431372549
"103",3,9130,2,0.0196078431372549
"104",3,20,1,0.00980392156862745
"105",3,50,1,0.00980392156862745
"106",3,60,1,0.00980392156862745
"107",3,110,1,0.00980392156862745
"108",3,160,1,0.00980392156862745
"109",3,350,1,0.00980392156862745
"110",3,360,1,0.00980392156862745
"111",3,640,1,0.00980392156862745
"112",3,850,1,0.00980392156862745
"113",3,940,1,0.00980392156862745
"114",3,1007,1,0.00980392156862745
"115",3,1030,1,0.00980392156862745
"116",3,1107,1,0.00980392156862745
"117",3,1220,1,0.00980392156862745
"118",3,1300,1,0.00980392156862745
"119",3,1410,1,0.00980392156862745
"120",3,1460,1,0.00980392156862745
"121",3,1530,1,0.00980392156862745
"122",3,1740,1,0.00980392156862745
"123",3,1820,1,0.00980392156862745
"124",3,1860,1,0.00980392156862745
"125",3,1930,1,0.00980392156862745
"126",3,2000,1,0.00980392156862745
"127",3,2015,1,0.00980392156862745
"128",3,2040,1,0.00980392156862745
"129",3,2060,1,0.00980392156862745
"130",3,2340,1,0.00980392156862745
"131",3,2630,1,0.00980392156862745
"132",3,2850,1,0.00980392156862745
"133",3,2900,1,0.00980392156862745
"134",3,3050,1,0.00980392156862745
"135",3,3820,1,0.00980392156862745
"136",3,3850,1,0.00980392156862745
"137",3,4720,1,0.00980392156862745
"138",3,4740,1,0.00980392156862745
"139",3,4760,1,0.00980392156862745
"140",3,4840,1,0.00980392156862745
"141",3,4850,1,0.00980392156862745
"142",3,4920,1,0.00980392156862745
"143",3,5000,1,0.00980392156862745
"144",3,5330,1,0.00980392156862745
"145",3,5860,1,0.00980392156862745
"146",3,5920,1,0.00980392156862745
"147",3,7010,1,0.00980392156862745
"148",3,9140,1,0.00980392156862745
"149",3,9830,1,0.00980392156862745
